3,A747-97D1672F5F4B,COLEGIO DE INGENIEROS CIVILES DE SAN LUIS,15,MIEMBRO
4,8676-9B08C03A43C0,Asociación de Ingenieros  Metalurgistas y Geólogos de México A.C.,17,Miembro 
5,8676-9B08C03A43C0,Sociedad Mexicana de Electroquímica AC,30,Miembro 
6,8676-9B08C03A43C0,The Minerals  Metals and Materials Society,21,Miembro 
7,8793-C272A821451E,IEEE,12,Miembro Profesional
8,8793-C272A821451E,ACM,12,Miembro Profesional
9,8E2B-4D4870DDD4AD,Sociedad Mexicana de Electroquímica,7,miembro
10,8E2B-4D4870DDD4AD,National Association of Corrosion Engineers (NACE).,29,miembro
11,8E2B-4D4870DDD4AD,Steel Structures Painting Council (SSPC).,12,miembro
13,81C8-ABBD2E182908,Expertos ODS México,1,Expositor  planeador
14,AC0C-96144F0179CC,Asociación Mexicana De Carbono,6,Miembro
15,AC0C-96144F0179CC, Red en medio Ambiente,2,Miembro
16,AC0C-96144F0179CC,Asociación Mexicana De Adsorción,1,Secretaria de finanzas
17,8676-9B08C03A43C0,International Society of Electrochemistry ,5,Miembro
18,B84F-623D2FFF368E,Capítulo Estudiantil IPICYT-Sociedad Mexicana de Materiales.,1,Miembro
19,A7AB-C2055831FEE5,Sociedad Mexicana de Electroquímica,24,Miembro
20,A7AB-C2055831FEE5,Sociedad Mexicana de Electroquímica,4,Secretario
21,A7AB-C2055831FEE5, Asociación de Ingenieros de Minas  Metalurgistas y Geologos de México . Distrito SLP,14,Miembro
22,A05B-AE7E97F1800E,Instituto Nacional de Antropología e Historía,3,Consejero titular
23,A05B-AE7E97F1800E,Sociedad Mexicana de Paleontología,2,Presidente de la SOMEXPAL
24,A05B-AE7E97F1800E,Sociedad Mexicana de Paleontología,2,Vicepresidente de la SOMEXPAL
25,A05B-AE7E97F1800E,Miembro de Sociedad Geologica Mexicana,15,Socio Activo
26,A05B-AE7E97F1800E,Miembro de la  Asociación de Ingenieros de Minas  Metalurgistas y Geologos de México  A.C.,15,Socio Activo
27,A05B-AE7E97F1800E,Miembro de la Red de divulgadores de la Ciencia  (REDICITY),8,Líder de grupo de divulgación (Fossilia).
28,B5AB-202D985E099D,Asociacion Nacional de Energia Solar ,10,Socio 
29,B5AB-202D985E099D,Red CONACYT de Energía Solar ,6,Socio
32,A441-8582DDCA08DA,CANACERO-OIT,2,Miembro
33,898F-BF42CA1693A8,Asociación de Ingenieros de Minas  Metalurgistas y Geólogos de México  A. C,5,Socio
34,898F-BF42CA1693A8,American Chemical Society,2,Miembro
35,898F-BF42CA1693A8,Red Latino Americana de Prevención y Gestión de Sitios Contaminados  Capítulo México,10,Miembro
36,B5AB-202D985E099D,Red de Ciencia Tecnología y Genero,5,Socio
37,9858-FFCF2CDEEEE8,Concejo de Acreditación de la Enseñanza de la Ingeniería,7,Cuerpo de evaluadores
38,B548-C001774C5E41,CETTMAP,5,MIEMBRO VOLUNTARIO
39,B548-C001774C5E41,BREC UBAN,3,VOLUNTARIO
40,B548-C001774C5E41,BOMBEROS VOLUNTARIOS DE SAN LUIS POTOSI,18,BOMBERO VOLUNTARIO
41,B548-C001774C5E41,CRUZ ROJA MEXICANA  DELEGACIÓN SAN LUIS POTOSI,8,T.U.M. BÁSICO VOLUNTARIO
42,B548-C001774C5E41,GRUPO VOLUNTARIO DE PERROS DE BUSQUEDA Y RESCATE,3,T.U.M. BÁSICO VOLUNTARIO
43,B260-9109B86AFBA4,Academia Nacional de Educadores Ambientales,6,miembro numerario
44,B28E-F8E515736A4E,Nucleo Basico academico del Posgrado en Tecnología y Gestión del Agua,11,miembro 
45,9FEF-FEB0A53EA59D,• Vicepresident del North Central Committee NCERA-213 Migration and Dispersal of Agriculturally-Important Biota. Consejo de instituciones de investigación científica y el US Department of Agriculture para modelado de migración y dispersión de organismos vi,4,Tesorero y vicepresidente
51,9FEF-FEB0A53EA59D,INTERAPAS Organismo municipal del agua,4,Vocal del consejo consultivo del INTERAPAS
52,9FEF-FEB0A53EA59D,INTERAPAS Organismo municipal del agua,4,Miembro de la junta de gobierno
53,9FEF-FEB0A53EA59D,SENASICA - SAGARPA,3,Asesor del Consejo de Vigilancia Epidemiológica Federal
60,9FEF-FEB0A53EA59D,UNESCO,3,Miembro Cátedra Sostenibilidad Univ Pol de Cataluña
61,9FEF-FEB0A53EA59D,Secretaría de Ecología de Gobierno del Estado de SLP,4,Presidente Consejo Consultivo de Cambio Climático
64,9FEF-FEB0A53EA59D,Red Latinoamericana de Ciencias Ambientales,7,Miembro / presidente para el Congreso 2017.
65,9FEF-FEB0A53EA59D,CONACyT,4,Miembro de la Red de Vivienda
66,9FEF-FEB0A53EA59D,COPOCyT,4,Miembro de la Red de Divulgación Científica
67,9FEF-FEB0A53EA59D,International Union for the Conservation of Nature,4,Miembro de la red IUCN Comisión de Educación
68,9FEF-FEB0A53EA59D,Asociación Potosina de Protección al Medio Ambiente AC,4,Miembro
69,9FEF-FEB0A53EA59D,Red Mexicana para el Manejo Ambiental de Residuos REMEXMAR,4,Miembro
70,8780-3F2C8DA8FB2D,Sociedad Mexicana de Ingeniería Mecánica,5,Miembro
71,8B57-58A0B378F8A1,ASM International,11,Miembro
72,B91E-9B0E4E43E39D,SOCIEDAD MEXICANA DE FUNDIDORES,3, COMITE HONARIO DEL CAPITULO ACADEMICO METALURGICO
73,966D-6081F3B5473F,ACADEMIA MEXICANA DE CIENCIAS,11,MIEMBRO REGULAR
75,8B55-2FD9C2CDB9DB,Sociedad Mexicana de Entomología,5,Socio
76,A8DF-1E597B3CE75A,MIEMBRO DE LA ASOCIACIÓN DE EJECUTIVOS DE LA GESTIÓN DEL TALENTO HUMANO DE SAN LUIS POTOSI AC,11,MIEMBRO
77,A8DF-1E597B3CE75A,COLEGIO DE CONTADORES PÚBLICOS DE SAN LUIS POTOSI,20,MIEMBRO
78,91D7-34FF3F297B62,Consejo Municipal de Desarrollo Urbano y Vivienda del Municipio de San Luis Potosí. S.L.P. México,2,Miembro del Consejo
79,91D7-34FF3F297B62,Miembro del Consejo Consultivo del Instituto Municipal de Planeación. Municipio de San Luis Potosí  S.L.P. México.,2,Miembro del Consejo
80,91D7-34FF3F297B62,Miembro del Consejo Consultivo de Cambio Climático del Estado de San Luis Potosí,8,Miembro del Consejo
81,91D7-34FF3F297B62,Delegado de La Facultad de Ingeniería. Miembro del XVII y XVI Congreso General de la Unión de Asociaciones del Personal Académico de la UASLP,5,Delegado de la Facultad de Ingeniería.
82,B2B9-C9CB95F55072,Asociación de Ingenieros de Minas  Metalurgistas y Geólogos de México,11,Socio
83,A5A7-43F2C26C43A5,Servicio Alemán de Intercambio Académico (DAAD),8,Embajadora emérita del DAAD
84,A5A7-43F2C26C43A5,Sociedad Volcanológica Chile,3,Miembro
85,A5A7-43F2C26C43A5,Geological Society of America,1,Miembro
86,A5A7-43F2C26C43A5,European Geosciences Union,1,Miembro
87,A16C-AFA7E8FEEA6F,Facultad de Ingenieria,2,Organizadora de conferencia
88,A16C-AFA7E8FEEA6F,Facultad de Ingeniería UASLP,2,Organizadora de curso taller de actualización docente
89,A16C-AFA7E8FEEA6F,Comité ANFEI -ASIBEI,1,Comité organizador
90,97B0-E40EC464619C,Asociación Mexicana de Geólogos Petroleros,38,Socio
91,97B0-E40EC464619C,Asociación de Ingenieros Petroleros de México ,36,Socio
92,AECC-3717A5139483,COLEGIO DE INGENIEROS AGRÓNOMOS,12,MIEMBRO
93,AECC-3717A5139483,RED CONACYT DE SISTEMAS DE CAPTACIÓN DE AGUA DE LLUVIA,12,MIEMBRO
94,AECC-3717A5139483,AMERICAN SOCIETY OF AGRICULTURAL ENGINEERS ,3,MIEMBRO
95,9F70-631542E15748,sociedad Latinoamericana de Percepción Remota y Sistemas de Información Espacial (SELPER),16,socio activo
96,9F70-631542E15748,Association Québécoise de Télédétection,3,socio activo
97,9CD4-C3F1E58742DD,Asociación de Mineros  Geologos y Metalurgista de Mexico,10,Miembro
98,A57D-3A05F840F619,Sociedad Científica Mexicana de Ecología,12,Socio
99,961E-D1D3CBCC7E87,Union Geofísica Mexicana,2,Miembro 
100,A789-29AD6B988B66,Society for Range Management,1,Miembro
101,A789-29AD6B988B66,International Association of Wildland Fire,1,Miembro
102,961E-D1D3CBCC7E87, European Geosciences Union,4,Miembro 
103,8B2B-86A0682C7ECD,Comisión Dictaminadora externa del Instituto de Geología de la Universidad Nacional Autónoma de México (UNAM) ,6,Miembro
104,8B2B-86A0682C7ECD, Consejo asesor de minería del gobierno del estado de San Luis Potosí ,13,Miembro
105,8B2B-86A0682C7ECD,Comité académico de la maestría en geología aplicada  DES Ingeniería  sede. Instituto de Geología  UASLP ,19,Miembro
106,8B2B-86A0682C7ECD,Organismo colegiado de evaluación de becas al desempeño académico del IPICyT. S. L. P.,10,integrante
107,8B2B-86A0682C7ECD,Comisión colegiada permanente de categorización de la UASLP  área de ciencias naturales y exactas,22,integrante
108,8B2B-86A0682C7ECD,Mesa directiva Nacional de la Sociedad Geológica Mexicana,2,Vicepresidente de educación
109,8B2B-86A0682C7ECD,Delegación San Luis Potosí de la Sociedad Geológica Mexicana,2,Presidente
110,8B2B-86A0682C7ECD,Geological Society of America  Campus Representative San Luis Potosí,16,Representante para San Luis Potosí y centro de México
111,8B2B-86A0682C7ECD,Geological Society of America  ,25,Miembro
112,8B2B-86A0682C7ECD,Unión Geofísica Mexicana ,25,Miembro
113,8B2B-86A0682C7ECD,Sociedad Geológica Mexicana,28,Miembro de la Sociedad Geológica Mexicana desde 1994
114,8B07-A4FEB5EE43AD,ASOCIACION DE INGENIEROS DE MINAS METALURGISTAS Y GEOLOGOS DE MÉXICO  A C  DISTRITO SAN LUIS,2,Secretario
115,8B07-A4FEB5EE43AD,COLEGIO DE INGENIEROS GEOLOGOS DISTRITO SAN LUIS ,3,Secretario
116,8E44-4CD5A2183D30,Unión Geofísica Mexicana,16,Miembro
117,8E44-4CD5A2183D30,IAVCEI,18,Miembro
118,9F2E-690464EFFA85,Asociación de Geólogos  Mineros y Metalurgistas de México A.C.,1,Socio
119,9F2E-690464EFFA85,Sociedad Geológica Mexicana,1,Socio
120,8B39-6475BF5A282E,Asociación de ingenieros Mineros  Metalurgistas y Geólogos de México,35,socio
121,B0BC-B5007BAAE968,Consejo de Acreditación de la Enseñanza de la Ingeniería  A.C.,6,Integrante
122,8124-EC5803EE2762,Secretario de Academia de Geología de Exploración,4,100%
123,8124-EC5803EE2762,Tecnico Academico Nivel  B,25,100%
124,AE08-4698961972FC,COLEGIO DE INGENIEROS DE MINAS METALURGISTAS Y GEOLOFOS DE MEXICO,20,PRESIDENTE DE DISTRITO
125,AE08-4698961972FC,ASOCIACION DE INGENIEROS DE MINAS METALURGISTAS Y GEOLOGOS DE MEXICO,40,PRESIDENTE DE DISTRITO
126,A671-CCC4DB53F52B,Asociación Geohidrológica Mexicana,25,Miembro Activo
127,A671-CCC4DB53F52B,International Association of Hydrogeologists,30,Miembro Activo
128,A671-CCC4DB53F52B,National Groundwater Association,20,Miembro Activo
129,A671-CCC4DB53F52B,Asociación de Ingenieros de Minas  Metalurgistas y Geólogos de Mexico,18,Miembro Activo
130,A671-CCC4DB53F52B,Colegio de Ingenieros de Minas  Metalurgistas y Geólogos de México AC,6,Miembro Activo
131,86D1-5462E241766C,Asociación Mexicana de Robótica (AMRob),2,Tesorero
132,86D1-5462E241766C,Asociación Mexicana de Robótica (AMRob),2,Vicepresidente
133,86D1-5462E241766C,Asociación Mexicana de Robótica (AMRob),2,Presidente
134,86D1-5462E241766C,IEEE,11,Miembro activo no. 91101287
135,A8BC-DB8861AF4656,CANACINTRA,4,CONSEJERO
136,A8BC-DB8861AF4656,COMITE DE  PARTICIPACION  CIUDADANA  DE  LA  PGR  EN   SLP,6,PRESIDENTE
137,A8BC-DB8861AF4656,AMIME  SECCION  SAN  LUIS,4,SECRETARIO
138,A8BC-DB8861AF4656,CONSEJO  DIRECTIVO  DEL  COLEGIO  DE  SAN  LUIS  A.C. ,6,CONSEJERO
139,A8BC-DB8861AF4656,UNION  GANADERA  REGIONAL  DE  SAN  LUIS  POTOSI,3,PRESIDENTE
140,8786-0DCD2FE4090B,ASOCIACION DE GEOLOGOS Y METALURGISTAS DE MEXICO,30,MIEMBRO ACTIVO
141,86A4-7121696F4C82,COLEGIO DE INGENIEROS CIVILES,37,MIEMBRO 
142,86A4-7121696F4C82,CAMARA MEXICANA DE LA INDUSTRIA DE LA CONSTRUCCION,31,MIEMBRO 
143,86A4-7121696F4C82,ASOCIACION MEXICANA DE ING. EN VIAS TERRESTRES( AMIVT),17,MIEMBRO 
144,86A4-7121696F4C82,SOCIEDAD MEXICANA DE INGENIEROS (SMI),39,PRESIDENTE ESTATAL SECTOR JUVENIL Y MIEMBRO
145,9342-061E0F0BC6B4,Academia de Termodinámica de la Facultad de Ingeniería,4,Presidenta
146,B311-E68931130BE5,Colegio Universitario de Ciencias y Artes  A. C. Mayo  2007.,17,Miembro
147,8196-F135D52B74FE,Asociacion Mexicana de Microscopia A.C.,24,socio y vocal
148,8196-F135D52B74FE,Sociedad Mexicana de Materiales A.C.,22,socio y vocal
149,B6B7-6D3D31284E60,Asociación de Ex-Alumnos de la Facultad de Ingeniería de la UASLP  A.C.,33,Miembro
150,B6B7-6D3D31284E60,Asociación de Ex-Alumnos de la Facultad de Ingeniería de la UASLP  A.C.,2,Secretario de la Asociación
151,B6B7-6D3D31284E60,Asociación de Ex-Alumnos de la Facultad de Ingeniería de la UASLP  A.C.,2,Presidente de la Asociación
152,8802-DF575AF48C52,CANACINTRA,15,miembro (no vigente)
153,BAE6-8C795CF7F1B0,• Sociedad Mexicana de Física,NULL,NULL
154,BAE6-8C795CF7F1B0,• Comité Mexicano del Frío  A.C.,NULL,NULL
155,BAE6-8C795CF7F1B0,• Asociación Nacional de Energía Solar   (ANES),NULL,NULL
156,BAE6-8C795CF7F1B0,• International Asociation of Solar Energy,NULL,NULL
157,BAE6-8C795CF7F1B0,• American Physical Society,NULL,NULL
158,9D58-CCD553319E8A,Grupo de expertos de agua de la Universidad de Siegen,9,Asistente a workshops  organizador de workshop
159,9D58-CCD553319E8A,Red CYTED Aquamemtec,2,Coordinador en San Luis Potosí
160,AD95-FFF7D1BFB099,Sociedad Matemática Mexicana,7,Miembro
161,B176-B8E05100F393,Colegio Nacional de Ingenieros Agroindustriales,10,Directivo
162,911A-421C9A53F3F4,Colegio Potosino siglo XXI de ingenieros civiles profesionales  A.C. ,1,Miembro activo 
163,B548-C001774C5E41,GRUPO VOLUNTARIO DE PERROS DE BUSQUEDA Y RESCATE,3,MIEMBRO VOLUNTARIO
164,AAA3-DB11D6BC67F5,Red latinoamericana de Ciencias Ambientales,6,Miembro
165,AAA3-DB11D6BC67F5,Red Temática de Gestión de la Calidad y Disponibilidad del Agua ,3,Comité técnico  Miembro
166,AAA3-DB11D6BC67F5,Colegio Universitario de Ciencias y artes  A.C.,3,Miembro
169,8F56-F9AA6096D2CA,International Society for Photogrammetry and Remote Sensing (ISPRS),5,Miembro
170,BD6E-AD7EAD78C90B,Colegio de Ingenieros Civiles,1,Integrante
171,9247-CCA3D43577CC,COLEGIO DE ARQUITECTOS DE SAN LUIS,1,PRESIDENTE
172,A171-3BA9BB00F6BF,Asociación Mexicana de Ingeniería  Ciencia y Gestión Ambiental  A. C. (AMICA) y de la Asociación Interamericana de Ingeniería Sanitaria y Ambiental AIDIS. ,2,? Miembro Asociado Profesional 
203,A719-7932825DC436,H. Ayuntamiento de San Luis Potosí 2012-2015,3,Consejo Municipal de Participación Social en la Educación
209,A719-7932825DC436,H. Ayuntamiento de San Luis Potosí 2015-2018,3,Consejo Municipal de Participación Social en la Educación
210,A719-7932825DC436,H. Ayuntamiento de San Luis Potosí 2018-2021,3,Consejo Municipal de Participación Social en la Educación
211,A719-7932825DC436,Mini Asociados México  A.C.,28,Mesa Directiva
212,A719-7932825DC436,Federación Mexicana de Automóviles Clásicos y de Colección  A.C.,10,Apoyo a Delegado
213,A719-7932825DC436,Red de Divulgación de Ciencia  Tecnología e Innovación (REDICITI) - COPOCYT,9,Coordinador General
214,B9BF-2AC52A76BAD6,Instituto Nacional Electoral,1,Presidente de casilla durante la Jornada Electoral
215,B9BF-2AC52A76BAD6,Asociación Mexicana de Investigación en Productos Naturales  A.C.,1,Socio profesionista
216,B9BF-2AC52A76BAD6,Red Temática Conacyt - Aprovechamiento Integral sustentable y Biotecnología de los agaves ,6,Miembro activo 
217,B9BF-2AC52A76BAD6,15a Reunión Internacional de Investigación en Productos Naturales/AMIPRONAT,1,Comité organizador 
218,9FF4-644CD34EC2BB,RED LATINOAMERICANA DE CIENCIAS AMBIENTALES,4,Miembro
219,9FF4-644CD34EC2BB,RED INTERNACIONAL PARA LA SOSTENIBILIDAD DE LAS ZONAS ÁRIDAS ,2,Miembro
