3,ESPECIALIDAD EN ARCHIVISTICA,2018,ESCUELA MEXICANA DE ARCHIVOS (09PBT0451H) MÉXICO,240,A747-97D1672F5F4B
4,DIPLOMADO EN MICROSOFT TEAMS,2020,CHANGE MAKER NOW - MICROSOFT México,30,B069-0AE3487B4177
5,CURSO TALLER DE SUPERACIÓN DOCENTE ACORDE AL PERFIL PRODEP,2018,UNIVERSIDAD AUTÓNOMA DE SAN LUIS POTOSÍ México,30,B069-0AE3487B4177
6,INTRODUCCIÓN A LA DIDÁCTICA GENERAL,2017,UNIVERSIDAD AUTÓNOMA DE SAN LUIS POTOSÍ México,30,B069-0AE3487B4177
7,INTRODUCCIÓN AL MANEJO DE ESPACIOS VIRTUALES DE APRENDIZAJE Y COLABORACIÓN  VERSIÓN 2.0,2016,UNIVERSIDAD AUTÓNOMA DE SAN LUIS POTOSÍ México,30,B069-0AE3487B4177
8,"CURSO ""DISEÑO Y ELABORACIÓN DE EXÁMENES Y REACTIVOS EN MOODLE 2.7""",2016,UNIVERSIDAD AUTÓNOMA DE SAN LUIS POTOSÍ México,30,B069-0AE3487B4177
9,"SEMINARIO-TALLER ""EDUCACIÓN SUPERIOR CONTEMPORÁNEA Y METODOLOGÍAS CENTRADAS EN EL APRENDIZAJE""",2015,UNIVERSIDAD AUTÓNOMA DE SAN LUIS POTOSÍ México,30,B069-0AE3487B4177
10,TÉCNICAS DIDÁCTICAS Y ESTRATEGIAS DE ENSEÑANZA APRENDIZAJE COLABORATIVO (AC) Y APREDIZAJE BASADO EN PROBELMAS (ABP),2015,UNIVERSIDAD AUTÓNOMA DE SAN LUIS POTOSÍ México,30,B069-0AE3487B4177
12,Diplomado en Divulgación de la Ciencia  la Tecnología y la Innovación,2013,Universidad Autónoma de San Luis Potosí México,160,8793-C272A821451E
13,Curso - Introducción a la Normatividad de la Facultad de Ingeniería,2016,Universidad Autónoma de San Luis Potosí México,30,8793-C272A821451E
16,Curso Elaboración de actividades no presenciales mediante espacios virtuales,2020,Universidad Autónoma de San Luis Potosí México,36,898F-BF42CA1693A8
17,Actualización - Estrategias de gestión de recursos para investigación y desarrollo,2021,Universidad Autónoma de San Luis Potosí México,10,9FEF-FEB0A53EA59D
18,Planeacion Didactica,2019,Facultad de Ingeniería  UASLP México,30,B43D-248D087AE68A
19,Inducción a la normativa de la Facultad de Ingeniería,2016,Facultad de Ingeniería  UASLP México,30,8C74-C4500D65B097
20,Natura-listas,2017,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad México,30,8C74-C4500D65B097
21,Reconstrucción filogenética molecular,2018,Sociedad Botánica de México y Universidad Autónoma de San Luis Potosí México,30,8C74-C4500D65B097
22,Taller Evaluación del Posgrado  XXX Congreso Nacional de Posgrado,2016,Universidad Autonoma de San Luis Potosi Mexico,8,8E2B-4D4870DDD4AD
30,Diseño e Impartición de cursos,2017,Consultoría Lucio México,15,81C8-ABBD2E182908
31,Formación de instructores,2017,Instituto de Capacitación para el Trabajo México,30,81C8-ABBD2E182908
32,Curso de Tzaloa para Docentes,2020,Universidad Autónoma de San Luis Potosí México,4,81C8-ABBD2E182908
33,Formación docente,2021,Universidad Autónoma de San Luis Potosí México,30,81C8-ABBD2E182908
35,Transverzalización de la perspectiva ambiental y de sustentabilidad en los programas de la licenciatura de la facultad de enfermería,2015,Facultad de Enfermería. UASLP México,10,BCAC-3E414E812BA6
36,Elaboración de programas analíticos y sintéticos,2015,Facultad de Enfermería. UASLP México,14,BCAC-3E414E812BA6
48,CURSO : FORMACION DE COMPETENCIAS TRANSVERSALES ,2019,UASLP MEXICO,4,8F13-580573C094AA
49,CURSO : TEAMS,2020,UASLP MEXICO,30,8F13-580573C094AA
50,CURSO: SCHOOLOGY,2021,UASLP MEXICO,6,8F13-580573C094AA
51,CURSO: COMUNICACION DE RIESGOS,2016,J.J. KELLER ASSOCIATES MEXICO,8,8F13-580573C094AA
52,CURSO: CONVERSION CATALITICA DE BIOMASA EN ENERGIA Y PRODS...,2018,UASLP MEXICO,12,8F13-580573C094AA
53,Taller de evaluación del sello EURACE,2015,CACEI México,15,AC0C-96144F0179CC
54,Tutoría,2018,Universidad Autónoma de San Luis Potosí México,30,8676-9B08C03A43C0
55,Normativa,2016,Facultad de Ingeniería UASLP México,30,8676-9B08C03A43C0
56,DIPLOMADO ,2021,FUNDACION CARLOS SLIM México,120,BD54-3B975FD9725C
57,CURSO EXPLORACION DE HABILIDADES PARA LA DOCENCIA EN NMS,2021,ANUIES México,80,BD54-3B975FD9725C
58,Taller virtual: Evaluación de atributos de egreso e instrumentos de medición,2020,CACEI México,10,B84F-623D2FFF368E
59,Participante en el 6° Simposio Potosino de Investigación en Ciencia de Materiales (virtual) ,2020,IPICYT México,10,B84F-623D2FFF368E
64,Taller inducción la normativa de la Facultad de ingeniería ,2016,Facultad de Ingeniería - Universidad Autónoma de San Luis Potosí México,30,A7AB-C2055831FEE5
65,"Curso ""La tutoría cómo elemento fundamental en la formación integral de los estudiantes """,2018,Facultad de Ingeniería - Universidad Autónoma de San Luis Potosí México,30,A7AB-C2055831FEE5
66,Ponencias y talleres del Coloquio institucional ECOS experiencias docentes  ,2019,Universidad Autónoma de San Luis Potosí México,14,A7AB-C2055831FEE5
67,"Curso-taller ""Experimentación Mecánica Eléctrica""",2021,Facultad de Ingeniería  Universisdad Autónoma de San Luis Potosí México,32,8324-B94E47D8231B
68,"Curso: ""Estructuración de actividades no presenciales a través de Didac-TIC""",2020,Secretaría Académica  Universisdad Autónoma de San Luis Potosí  México,36,8324-B94E47D8231B
69,"Curso-Taller: ""Planeación Didáctica""",2018,Montellano Espinosa México,40,8324-B94E47D8231B
